time,key
2021-02-01T17:25:12.301,"{}"
2021-02-01T17:25:12.304,"{}"
2021-02-01T17:25:12.316,"{}"
2021-02-01T17:25:12.327,"{}"
2021-02-01T17:25:12.329,"{}"
2021-02-01T17:25:12.331,"{}"
2021-02-01T17:25:12.335,"{}"
2021-02-01T17:25:12.342,"{}"
2021-02-01T17:25:12.348,"{}"
2021-02-01T17:25:12.355,"{}"
2021-02-01T17:25:12.355,"{}"
2021-02-01T17:25:12.362,"{}"
2021-02-01T17:25:12.366,"{}"
2021-02-01T17:25:12.369,"{}"
2021-02-01T17:25:12.374,"{}"
2021-02-01T17:25:12.378,"{}"
2021-02-01T17:25:12.382,"{}"
2021-02-01T17:25:12.386,"{}"
2021-02-01T17:25:12.391,"{}"
2021-02-01T17:25:12.394,"{}"
2021-02-01T17:25:12.398,"{}"
2021-02-01T17:25:12.402,"{}"
2021-02-01T17:25:12.406,"{}"
2021-02-01T17:25:12.410,"{}"
2021-02-01T17:25:12.416,"{}"
2021-02-01T17:25:12.420,"{}"
2021-02-01T17:25:12.424,"{}"
2021-02-01T17:25:12.428,"{}"
2021-02-01T17:25:12.432,"{}"
2021-02-01T17:25:12.439,"{}"
2021-02-01T17:25:12.442,"{}"
2021-02-01T17:25:12.445,"{}"
2021-02-01T17:25:12.450,"{}"
2021-02-01T17:25:12.453,"{}"
2021-02-01T17:25:12.459,"{}"
2021-02-01T17:25:12.463,"{}"
2021-02-01T17:25:12.467,"{}"
2021-02-01T17:25:12.470,"{}"
2021-02-01T17:25:12.474,"{}"
2021-02-01T17:25:12.478,"{}"
2021-02-01T17:25:12.483,"{}"
2021-02-01T17:25:12.488,"{}"
2021-02-01T17:25:12.492,"{}"
2021-02-01T17:25:12.495,"{}"
2021-02-01T17:25:12.500,"{}"
2021-02-01T17:25:12.504,"{}"
2021-02-01T17:25:12.513,"{}"
2021-02-01T17:25:12.515,"{}"
2021-02-01T17:25:12.518,"{}"
2021-02-01T17:25:12.521,"{}"
2021-02-01T17:25:12.525,"{}"
2021-02-01T17:25:12.530,"{}"
2021-02-01T17:25:12.534,"{}"
2021-02-01T17:25:12.539,"{}"
2021-02-01T17:25:12.542,"{}"
2021-02-01T17:25:12.546,"{}"
2021-02-01T17:25:12.550,"{}"
2021-02-01T17:25:12.554,"{}"
2021-02-01T17:25:12.560,"{}"
2021-02-01T17:25:12.563,"{}"
2021-02-01T17:25:12.567,"{}"
2021-02-01T17:25:12.573,"{}"
2021-02-01T17:25:12.577,"{}"
2021-02-01T17:25:12.581,"{}"
2021-02-01T17:25:12.585,"{}"
2021-02-01T17:25:12.591,"{}"
2021-02-01T17:25:12.594,"{}"
2021-02-01T17:25:12.598,"{}"
2021-02-01T17:25:12.602,"{}"
2021-02-01T17:25:12.606,"{}"
2021-02-01T17:25:12.612,"{}"
2021-02-01T17:25:12.615,"{}"
2021-02-01T17:25:12.619,"{}"
2021-02-01T17:25:12.623,"{}"
2021-02-01T17:25:12.627,"{}"
2021-02-01T17:25:12.631,"{}"
2021-02-01T17:25:12.635,"{}"
2021-02-01T17:25:12.639,"{}"
2021-02-01T17:25:12.644,"{}"
2021-02-01T17:25:12.648,"{}"
2021-02-01T17:25:12.652,"{}"
2021-02-01T17:25:12.656,"{}"
2021-02-01T17:25:12.661,"{}"
2021-02-01T17:25:12.665,"{}"
2021-02-01T17:25:12.669,"{}"
2021-02-01T17:25:12.673,"{'A'}"
2021-02-01T17:25:12.677,"{'A'}"
2021-02-01T17:25:12.681,"{'A'}"
2021-02-01T17:25:12.685,"{'A'}"
2021-02-01T17:25:12.690,"{'A'}"
2021-02-01T17:25:12.693,"{'A'}"
2021-02-01T17:25:12.697,"{'A'}"
2021-02-01T17:25:12.701,"{'A'}"
2021-02-01T17:25:12.705,"{'A'}"
2021-02-01T17:25:12.709,"{'A'}"
2021-02-01T17:25:12.713,"{'A'}"
2021-02-01T17:25:12.717,"{'A'}"
2021-02-01T17:25:12.721,"{'A'}"
2021-02-01T17:25:12.725,"{'A'}"
2021-02-01T17:25:12.729,"{'A'}"
2021-02-01T17:25:12.734,"{'A'}"
2021-02-01T17:25:12.738,"{'A'}"
2021-02-01T17:25:12.743,"{'A'}"
2021-02-01T17:25:12.746,"{'A'}"
2021-02-01T17:25:12.750,"{'A'}"
2021-02-01T17:25:12.754,"{'A'}"
2021-02-01T17:25:12.763,"{'A'}"
2021-02-01T17:25:12.768,"{'A'}"
2021-02-01T17:25:12.772,"{'A'}"
2021-02-01T17:25:12.776,"{'A'}"
2021-02-01T17:25:12.780,"{'A'}"
2021-02-01T17:25:12.784,"{'A'}"
2021-02-01T17:25:12.788,"{'A'}"
2021-02-01T17:25:12.792,"{'A'}"
2021-02-01T17:25:12.796,"{'A'}"
2021-02-01T17:25:12.800,"{'A'}"
2021-02-01T17:25:12.804,"{'A'}"
2021-02-01T17:25:12.808,"{'A'}"
2021-02-01T17:25:12.814,"{'A'}"
2021-02-01T17:25:12.818,"{'A'}"
2021-02-01T17:25:12.822,"{'A'}"
2021-02-01T17:25:12.827,"{'A'}"
2021-02-01T17:25:12.831,"{'A'}"
2021-02-01T17:25:12.835,"{'A'}"
2021-02-01T17:25:12.840,"{'A'}"
2021-02-01T17:25:12.844,"{'A'}"
2021-02-01T17:25:12.848,"{'A'}"
2021-02-01T17:25:12.852,"{'A'}"
2021-02-01T17:25:12.856,"{'A'}"
2021-02-01T17:25:12.861,"{'A'}"
2021-02-01T17:25:12.866,"{'A'}"
2021-02-01T17:25:12.869,"{'A'}"
2021-02-01T17:25:12.873,"{'A'}"
2021-02-01T17:25:12.877,"{'A'}"
2021-02-01T17:25:12.881,"{'A'}"
2021-02-01T17:25:12.885,"{'A'}"
2021-02-01T17:25:12.891,"{'A'}"
2021-02-01T17:25:12.894,"{'A'}"
2021-02-01T17:25:12.898,"{'A'}"
2021-02-01T17:25:12.902,"{'A'}"
2021-02-01T17:25:12.906,"{'A'}"
2021-02-01T17:25:12.912,"{'A'}"
2021-02-01T17:25:12.915,"{'A'}"
2021-02-01T17:25:12.919,"{'A'}"
2021-02-01T17:25:12.923,"{'A'}"
2021-02-01T17:25:12.927,"{'A'}"
2021-02-01T17:25:12.931,"{'A'}"
2021-02-01T17:25:12.935,"{'A'}"
2021-02-01T17:25:12.939,"{'A'}"
2021-02-01T17:25:12.944,"{'A'}"
2021-02-01T17:25:12.948,"{'A'}"
2021-02-01T17:25:12.952,"{'A'}"
2021-02-01T17:25:12.956,"{'A'}"
2021-02-01T17:25:12.964,"{'A'}"
2021-02-01T17:25:12.968,"{'A'}"
2021-02-01T17:25:12.972,"{'A'}"
2021-02-01T17:25:12.976,"{'A'}"
2021-02-01T17:25:12.980,"{'A'}"
2021-02-01T17:25:12.984,"{'A'}"
2021-02-01T17:25:12.988,"{'A'}"
2021-02-01T17:25:12.993,"{'A'}"
2021-02-01T17:25:12.996,"{'A'}"
2021-02-01T17:25:13.000,"{'A'}"
2021-02-01T17:25:13.004,"{'A'}"
2021-02-01T17:25:13.008,"{'A'}"
2021-02-01T17:25:13.015,"{'A'}"
2021-02-01T17:25:13.018,"{'A'}"
2021-02-01T17:25:13.022,"{'A'}"
2021-02-01T17:25:13.026,"{'A'}"
2021-02-01T17:25:13.030,"{'A'}"
2021-02-01T17:25:13.034,"{'A'}"
2021-02-01T17:25:13.038,"{'A'}"
2021-02-01T17:25:13.043,"{'A'}"
2021-02-01T17:25:13.046,"{'A'}"
2021-02-01T17:25:13.050,"{'A'}"
2021-02-01T17:25:13.054,"{'A'}"
2021-02-01T17:25:13.062,"{'A'}"
2021-02-01T17:25:13.064,"{'A'}"
2021-02-01T17:25:13.068,"{'A'}"
2021-02-01T17:25:13.072,"{'A'}"
2021-02-01T17:25:13.077,"{'A'}"
2021-02-01T17:25:13.081,"{'A'}"
2021-02-01T17:25:13.085,"{'A'}"
2021-02-01T17:25:13.089,"{'A','LEFT'}"
2021-02-01T17:25:13.096,"{'A','LEFT'}"
2021-02-01T17:25:13.100,"{'A','LEFT'}"
2021-02-01T17:25:13.104,"{'A','LEFT'}"
2021-02-01T17:25:13.109,"{'A','LEFT'}"
2021-02-01T17:25:13.117,"{'A','LEFT'}"
2021-02-01T17:25:13.121,"{'A','LEFT'}"
2021-02-01T17:25:13.127,"{'A','LEFT'}"
2021-02-01T17:25:13.134,"{'A','LEFT'}"
2021-02-01T17:25:13.141,"{'A','LEFT'}"
2021-02-01T17:25:13.146,"{'A','LEFT'}"
2021-02-01T17:25:13.150,"{'A','LEFT'}"
2021-02-01T17:25:13.154,"{'A','LEFT'}"
2021-02-01T17:25:13.159,"{'A','LEFT'}"
2021-02-01T17:25:13.167,"{'A','LEFT'}"
2021-02-01T17:25:13.173,"{'A','LEFT'}"
2021-02-01T17:25:13.182,"{'A','LEFT'}"
2021-02-01T17:25:13.187,"{'A','LEFT'}"
2021-02-01T17:25:13.192,"{'A','LEFT'}"
2021-02-01T17:25:13.196,"{'A','LEFT'}"
2021-02-01T17:25:13.210,"{'A'}"
2021-02-01T17:25:13.215,"{'A'}"
2021-02-01T17:25:13.219,"{'A'}"
2021-02-01T17:25:13.224,"{'A'}"
2021-02-01T17:25:13.229,"{'A'}"
2021-02-01T17:25:13.232,"{'A'}"
2021-02-01T17:25:13.236,"{'A'}"
2021-02-01T17:25:13.240,"{'A'}"
2021-02-01T17:25:13.245,"{'A'}"
2021-02-01T17:25:13.250,"{'A'}"
2021-02-01T17:25:13.255,"{'A'}"
2021-02-01T17:25:13.259,"{'A'}"
2021-02-01T17:25:13.263,"{'A'}"
2021-02-01T17:25:13.267,"{'A'}"
2021-02-01T17:25:13.273,"{'A'}"
2021-02-01T17:25:13.277,"{'A'}"
2021-02-01T17:25:13.280,"{'A'}"
2021-02-01T17:25:13.284,"{'A'}"
2021-02-01T17:25:13.288,"{'A'}"
2021-02-01T17:25:13.293,"{'A'}"
2021-02-01T17:25:13.297,"{'A'}"
2021-02-01T17:25:13.302,"{'A'}"
2021-02-01T17:25:13.305,"{'A'}"
2021-02-01T17:25:13.309,"{'A'}"
2021-02-01T17:25:13.313,"{'A'}"
2021-02-01T17:25:13.317,"{'A'}"
2021-02-01T17:25:13.323,"{'A'}"
2021-02-01T17:25:13.328,"{'A'}"
2021-02-01T17:25:13.332,"{'A'}"
2021-02-01T17:25:13.336,"{'A'}"
2021-02-01T17:25:13.351,"{'A'}"
2021-02-01T17:25:13.354,"{'A'}"
2021-02-01T17:25:13.357,"{'A'}"
2021-02-01T17:25:13.362,"{'A'}"
2021-02-01T17:25:13.369,"{'A'}"
2021-02-01T17:25:13.374,"{'A'}"
2021-02-01T17:25:13.377,"{'A'}"
2021-02-01T17:25:13.381,"{'A'}"
2021-02-01T17:25:13.385,"{'A'}"
2021-02-01T17:25:13.394,"{'A'}"
2021-02-01T17:25:13.399,"{'A'}"
2021-02-01T17:25:13.402,"{'A'}"
2021-02-01T17:25:13.406,"{'A'}"
2021-02-01T17:25:13.410,"{'A'}"
2021-02-01T17:25:13.414,"{'A'}"
2021-02-01T17:25:13.418,"{'A'}"
2021-02-01T17:25:13.423,"{'A'}"
2021-02-01T17:25:13.427,"{'A'}"
2021-02-01T17:25:13.430,"{'A'}"
2021-02-01T17:25:13.434,"{'A'}"
2021-02-01T17:25:13.438,"{'A'}"
2021-02-01T17:25:13.445,"{'A'}"
2021-02-01T17:25:13.449,"{'A'}"
2021-02-01T17:25:13.452,"{'A'}"
2021-02-01T17:25:13.456,"{'A'}"
2021-02-01T17:25:13.460,"{'A'}"
2021-02-01T17:25:13.464,"{'A'}"
2021-02-01T17:25:13.470,"{'A'}"
2021-02-01T17:25:13.473,"{'A'}"
2021-02-01T17:25:13.477,"{'A'}"
2021-02-01T17:25:13.481,"{'A'}"
2021-02-01T17:25:13.485,"{'A'}"
2021-02-01T17:25:13.489,"{'A'}"
2021-02-01T17:25:13.495,"{'A'}"
2021-02-01T17:25:13.498,"{'A'}"
2021-02-01T17:25:13.502,"{'A'}"
2021-02-01T17:25:13.506,"{'A'}"
2021-02-01T17:25:13.510,"{'A'}"
2021-02-01T17:25:13.514,"{'A'}"
2021-02-01T17:25:13.518,"{'A'}"
2021-02-01T17:25:13.521,"{'A','LEFT'}"
2021-02-01T17:25:13.529,"{'A','LEFT'}"
2021-02-01T17:25:13.535,"{'A','LEFT'}"
2021-02-01T17:25:13.538,"{'A','LEFT'}"
2021-02-01T17:25:13.545,"{'A','LEFT'}"
2021-02-01T17:25:13.554,"{'A','LEFT'}"
2021-02-01T17:25:13.560,"{'A','LEFT'}"
2021-02-01T17:25:13.564,"{'A','LEFT'}"
2021-02-01T17:25:13.570,"{'A','LEFT'}"
2021-02-01T17:25:13.577,"{'A','LEFT'}"
2021-02-01T17:25:13.581,"{'A','LEFT'}"
2021-02-01T17:25:13.585,"{'A','LEFT'}"
2021-02-01T17:25:13.589,"{'A','LEFT'}"
2021-02-01T17:25:13.601,"{'A','LEFT'}"
2021-02-01T17:25:13.605,"{'A','LEFT'}"
2021-02-01T17:25:13.609,"{'A','LEFT'}"
2021-02-01T17:25:13.613,"{'A','LEFT'}"
2021-02-01T17:25:13.623,"{'A','LEFT'}"
2021-02-01T17:25:13.630,"{'A','LEFT'}"
2021-02-01T17:25:13.634,"{'A','LEFT'}"
2021-02-01T17:25:13.638,"{'A','LEFT'}"
2021-02-01T17:25:13.648,"{'A'}"
2021-02-01T17:25:13.652,"{'A'}"
2021-02-01T17:25:13.656,"{'A'}"
2021-02-01T17:25:13.661,"{'A'}"
2021-02-01T17:25:13.665,"{'A'}"
2021-02-01T17:25:13.669,"{'A'}"
2021-02-01T17:25:13.673,"{'A'}"
2021-02-01T17:25:13.678,"{'A'}"
2021-02-01T17:25:13.682,"{'A'}"
2021-02-01T17:25:13.686,"{'A'}"
2021-02-01T17:25:13.690,"{'A'}"
2021-02-01T17:25:13.694,"{'A'}"
2021-02-01T17:25:13.698,"{'A'}"
2021-02-01T17:25:13.702,"{'A'}"
2021-02-01T17:25:13.706,"{'A'}"
2021-02-01T17:25:13.710,"{'A'}"
2021-02-01T17:25:13.714,"{'A'}"
2021-02-01T17:25:13.718,"{'A'}"
2021-02-01T17:25:13.722,"{'A'}"
2021-02-01T17:25:13.727,"{'A'}"
